PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Massachusetts,2015,40,X,0.790429,X,X,X,X,X,X,185,44,23405
States,Massachusetts,2015,41,X,0.643767,X,X,X,X,X,X,134,43,20815
States,Massachusetts,2015,42,X,0.733375,X,X,X,X,X,X,177,44,24135
States,Massachusetts,2015,43,X,0.589921,X,X,X,X,X,X,142,41,24071
States,Massachusetts,2015,44,X,0.667916,X,X,X,X,X,X,164,44,24554
States,Massachusetts,2015,45,X,0.672289,X,X,X,X,X,X,165,45,24543
States,Massachusetts,2015,46,X,0.645367,X,X,X,X,X,X,162,44,25102
States,Massachusetts,2015,47,X,0.869205,X,X,X,X,X,X,147,42,16912
States,Massachusetts,2015,48,X,0.793021,X,X,X,X,X,X,200,46,25220
States,Massachusetts,2015,49,X,0.811212,X,X,X,X,X,X,202,46,24901
States,Massachusetts,2015,50,X,0.791949,X,X,X,X,X,X,192,45,24244
States,Massachusetts,2015,51,X,1.31384,X,X,X,X,X,X,204,41,15527
States,Massachusetts,2015,52,X,1.24224,X,X,X,X,X,X,192,43,15456
States,Massachusetts,2016,1,X,1.03824,X,X,X,X,X,X,243,43,23405
States,Massachusetts,2016,2,X,1.09204,X,X,X,X,X,X,250,42,22893
States,Massachusetts,2016,3,X,1.25813,X,X,X,X,X,X,269,45,21381
States,Massachusetts,2016,4,X,1.43077,X,X,X,X,X,X,353,45,24672
States,Massachusetts,2016,5,X,1.61123,X,X,X,X,X,X,389,45,24143
States,Massachusetts,2016,6,X,1.49574,X,X,X,X,X,X,335,45,22397
States,Massachusetts,2016,7,X,1.57182,X,X,X,X,X,X,311,44,19786
States,Massachusetts,2016,8,X,1.57617,X,X,X,X,X,X,382,42,24236
States,Massachusetts,2016,9,X,1.75215,X,X,X,X,X,X,413,42,23571
States,Massachusetts,2016,10,X,2.58081,X,X,X,X,X,X,618,42,23946
States,Massachusetts,2016,11,X,2.22927,X,X,X,X,X,X,520,40,23326
States,Massachusetts,2016,12,X,1.9326,X,X,X,X,X,X,449,42,23233
States,Massachusetts,2016,13,X,1.92072,X,X,X,X,X,X,471,42,24522
States,Massachusetts,2016,14,X,1.53833,X,X,X,X,X,X,364,41,23662
States,Massachusetts,2016,15,X,1.36795,X,X,X,X,X,X,323,41,23612
States,Massachusetts,2016,16,X,1.57377,X,X,X,X,X,X,288,36,18300
States,Massachusetts,2016,17,X,0.997163,X,X,X,X,X,X,232,37,23266
States,Massachusetts,2016,18,X,0.958786,X,X,X,X,X,X,211,38,22007
States,Massachusetts,2016,19,X,0.834063,X,X,X,X,X,X,181,36,21701
States,Massachusetts,2016,20,X,0.807351,X,X,X,X,X,X,181,33,22419
States,Massachusetts,2016,21,X,0.835339,X,X,X,X,X,X,177,28,21189
States,Massachusetts,2016,22,X,0.582216,X,X,X,X,X,X,99,26,17004
States,Massachusetts,2016,23,X,0.837011,X,X,X,X,X,X,165,25,19713
States,Massachusetts,2016,24,X,0.580504,X,X,X,X,X,X,106,24,18260
States,Massachusetts,2016,25,X,0.494651,X,X,X,X,X,X,86,23,17386
States,Massachusetts,2016,26,X,0.454519,X,X,X,X,X,X,77,22,16941
States,Massachusetts,2016,27,X,0.488679,X,X,X,X,X,X,60,23,12278
States,Massachusetts,2016,28,X,0.426677,X,X,X,X,X,X,65,22,15234
States,Massachusetts,2016,29,X,0.427722,X,X,X,X,X,X,64,24,14963
States,Massachusetts,2016,30,X,0.414841,X,X,X,X,X,X,71,23,17115
States,Massachusetts,2016,31,X,0.389268,X,X,X,X,X,X,65,22,16698
States,Massachusetts,2016,32,X,0.333677,X,X,X,X,X,X,55,22,16483
States,Massachusetts,2016,33,X,0.465679,X,X,X,X,X,X,100,25,21474
States,Massachusetts,2016,34,X,0.406466,X,X,X,X,X,X,86,25,21158
States,Massachusetts,2016,35,X,0.356064,X,X,X,X,X,X,79,26,22187
States,Massachusetts,2016,36,X,0.477624,X,X,X,X,X,X,92,25,19262
States,Massachusetts,2016,37,X,0.565901,X,X,X,X,X,X,141,26,24916
States,Massachusetts,2016,38,X,0.587343,X,X,X,X,X,X,151,27,25709
States,Massachusetts,2016,39,X,0.487732,X,X,X,X,X,X,130,28,26654
States,Massachusetts,2016,40,X,0.61873,X,X,X,X,X,X,177,45,28607
States,Massachusetts,2016,41,X,0.538175,X,X,X,X,X,X,150,47,27872
States,Massachusetts,2016,42,X,0.677688,X,X,X,X,X,X,198,46,29217
States,Massachusetts,2016,43,X,0.630021,X,X,X,X,X,X,189,46,29999
States,Massachusetts,2016,44,X,0.767178,X,X,X,X,X,X,230,46,29980
States,Massachusetts,2016,45,X,0.679392,X,X,X,X,X,X,210,45,30910
States,Massachusetts,2016,46,X,0.807039,X,X,X,X,X,X,255,44,31597
States,Massachusetts,2016,47,X,0.847225,X,X,X,X,X,X,185,48,21836
States,Massachusetts,2016,48,X,0.691585,X,X,X,X,X,X,220,44,31811
States,Massachusetts,2016,49,X,0.871126,X,X,X,X,X,X,267,44,30650
States,Massachusetts,2016,50,X,1.01981,X,X,X,X,X,X,313,45,30692
States,Massachusetts,2016,51,X,1.1781,X,X,X,X,X,X,340,45,28860
States,Massachusetts,2016,52,X,1.55035,X,X,X,X,X,X,315,44,20318
States,Massachusetts,2017,1,X,1.34451,X,X,X,X,X,X,356,45,26478
States,Massachusetts,2017,2,X,1.32576,X,X,X,X,X,X,406,45,30624
States,Massachusetts,2017,3,X,1.51277,X,X,X,X,X,X,423,47,27962
States,Massachusetts,2017,4,X,1.79816,X,X,X,X,X,X,583,46,32422
States,Massachusetts,2017,5,X,2.23652,X,X,X,X,X,X,737,47,32953
States,Massachusetts,2017,6,X,2.73075,X,X,X,X,X,X,750,45,27465
States,Massachusetts,2017,7,X,2.4473,X,X,X,X,X,X,714,44,29175
States,Massachusetts,2017,8,X,2.53476,X,X,X,X,X,X,669,46,26393
States,Massachusetts,2017,9,X,1.63971,X,X,X,X,X,X,518,45,31591
States,Massachusetts,2017,10,X,1.67908,X,X,X,X,X,X,460,46,27396
States,Massachusetts,2017,11,X,1.78344,X,X,X,X,X,X,435,43,24391
States,Massachusetts,2017,12,X,1.82552,X,X,X,X,X,X,556,44,30457
States,Massachusetts,2017,13,X,2.02522,X,X,X,X,X,X,668,46,32984
States,Massachusetts,2017,14,X,2.10917,X,X,X,X,X,X,694,44,32904
States,Massachusetts,2017,15,X,1.72087,X,X,X,X,X,X,527,43,30624
States,Massachusetts,2017,16,X,1.27052,X,X,X,X,X,X,298,44,23455
States,Massachusetts,2017,17,X,0.896083,X,X,X,X,X,X,248,39,27676
States,Massachusetts,2017,18,X,0.704576,X,X,X,X,X,X,198,39,28102
States,Massachusetts,2017,19,X,0.754067,X,X,X,X,X,X,210,39,27849
States,Massachusetts,2017,20,X,0.820463,X,X,X,X,X,X,221,39,26936
States,Massachusetts,2017,21,X,0.677286,X,X,X,X,X,X,179,32,26429
States,Massachusetts,2017,22,X,0.757756,X,X,X,X,X,X,159,28,20983
States,Massachusetts,2017,23,X,0.667514,X,X,X,X,X,X,168,28,25168
States,Massachusetts,2017,24,X,0.708397,X,X,X,X,X,X,177,27,24986
States,Massachusetts,2017,25,X,0.618827,X,X,X,X,X,X,151,28,24401
States,Massachusetts,2017,26,X,0.430416,X,X,X,X,X,X,27,12,6273
States,Massachusetts,2017,27,X,0.570147,X,X,X,X,X,X,89,25,15610
States,Massachusetts,2017,28,X,0.493495,X,X,X,X,X,X,99,24,20061
States,Massachusetts,2017,29,X,0.417622,X,X,X,X,X,X,82,25,19635
States,Massachusetts,2017,30,X,0.374759,X,X,X,X,X,X,74,25,19746
States,Massachusetts,2017,31,X,0.443755,X,X,X,X,X,X,83,24,18704
States,Massachusetts,2017,32,X,0.462233,X,X,X,X,X,X,88,23,19038
States,Massachusetts,2017,33,X,0.479541,X,X,X,X,X,X,92,24,19185
States,Massachusetts,2017,34,X,0.446002,X,X,X,X,X,X,84,24,18834
States,Massachusetts,2017,35,X,0.395121,X,X,X,X,X,X,69,22,17463
States,Massachusetts,2017,36,X,0.416378,X,X,X,X,X,X,72,24,17292
States,Massachusetts,2017,37,X,0.555258,X,X,X,X,X,X,114,24,20531
States,Massachusetts,2017,38,X,0.557541,X,X,X,X,X,X,117,24,20985
States,Massachusetts,2017,39,X,0.531195,X,X,X,X,X,X,102,20,19202
States,Massachusetts,2017,40,X,0.68067,X,X,X,X,X,X,372,92,54652
States,Massachusetts,2017,41,X,0.891701,X,X,X,X,X,X,592,86,66390
States,Massachusetts,2017,42,X,0.807923,X,X,X,X,X,X,558,90,69066
States,Massachusetts,2017,43,X,0.9611,X,X,X,X,X,X,674,88,70128
States,Massachusetts,2017,44,X,0.995875,X,X,X,X,X,X,676,92,67880
States,Massachusetts,2017,45,X,1.20766,X,X,X,X,X,X,882,88,73034
States,Massachusetts,2017,46,X,1.27454,X,X,X,X,X,X,944,92,74066
States,Massachusetts,2017,47,X,1.66174,X,X,X,X,X,X,910,92,54762
States,Massachusetts,2017,48,X,1.39196,X,X,X,X,X,X,1008,92,72416
States,Massachusetts,2017,49,X,1.51453,X,X,X,X,X,X,1110,90,73290
States,Massachusetts,2017,50,X,1.72312,X,X,X,X,X,X,1278,90,74168
States,Massachusetts,2017,51,X,2.10554,X,X,X,X,X,X,1438,88,68296
States,Massachusetts,2017,52,X,3.11497,X,X,X,X,X,X,1592,92,51108
States,Massachusetts,2018,1,X,2.86885,X,X,X,X,X,X,1442,88,50264
States,Massachusetts,2018,2,X,2.29335,X,X,X,X,X,X,1638,92,71424
States,Massachusetts,2018,3,X,3.16612,X,X,X,X,X,X,2132,92,67338
States,Massachusetts,2018,4,X,3.89597,X,X,X,X,X,X,2960,90,75976
States,Massachusetts,2018,5,X,5.48851,X,X,X,X,X,X,3984,86,72588
States,Massachusetts,2018,6,X,5.42233,X,X,X,X,X,X,4138,90,76314
States,Massachusetts,2018,7,X,5.06878,X,X,X,X,X,X,3972,84,78362
States,Massachusetts,2018,8,X,4.61404,X,X,X,X,X,X,3064,90,66406
States,Massachusetts,2018,9,X,3.00361,X,X,X,X,X,X,2080,90,69250
States,Massachusetts,2018,10,X,2.39857,X,X,X,X,X,X,1530,88,63788
States,Massachusetts,2018,11,X,2.31978,X,X,X,X,X,X,1338,84,57678
States,Massachusetts,2018,12,X,1.75298,X,X,X,X,X,X,1178,86,67200
States,Massachusetts,2018,13,X,1.82193,X,X,X,X,X,X,1272,88,69816
States,Massachusetts,2018,14,X,1.92668,X,X,X,X,X,X,1356,86,70380
States,Massachusetts,2018,15,X,1.84517,X,X,X,X,X,X,1370,86,74248
States,Massachusetts,2018,16,X,1.65541,X,X,X,X,X,X,1000,86,60408
States,Massachusetts,2018,17,X,1.30076,X,X,X,X,X,X,918,82,70574
States,Massachusetts,2018,18,X,1.20893,X,X,X,X,X,X,836,84,69152
States,Massachusetts,2018,19,X,1.05451,X,X,X,X,X,X,732,82,69416
States,Massachusetts,2018,20,X,1.01591,X,X,X,X,X,X,678,70,66738
States,Massachusetts,2018,21,X,1.07181,X,X,X,X,X,X,674,66,62884
States,Massachusetts,2018,22,X,0.89777,X,X,X,X,X,X,496,68,55248
States,Massachusetts,2018,23,X,0.685467,X,X,X,X,X,X,386,62,56312
States,Massachusetts,2018,24,X,0.650836,X,X,X,X,X,X,370,58,56850
States,Massachusetts,2018,25,X,0.695557,X,X,X,X,X,X,356,58,51182
States,Massachusetts,2018,26,X,0.719451,X,X,X,X,X,X,384,56,53374
States,Massachusetts,2018,27,X,0.703415,X,X,X,X,X,X,318,58,45208
States,Massachusetts,2018,28,X,0.802852,X,X,X,X,X,X,482,60,60036
States,Massachusetts,2018,29,X,0.657088,X,X,X,X,X,X,386,58,58744
States,Massachusetts,2018,30,X,0.667453,X,X,X,X,X,X,396,56,59330
