"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Massachusetts,2015,40,259,1,2,1.16,0.39,0.77
States,Massachusetts,2015,41,256,1,1,0.78,0.39,0.39
States,Massachusetts,2015,42,244,0,1,0.41,0,0.41
States,Massachusetts,2015,43,231,0,1,0.43,0,0.43
States,Massachusetts,2015,44,273,0,0,0,0,0
States,Massachusetts,2015,45,218,1,1,0.92,0.46,0.46
States,Massachusetts,2015,46,263,0,0,0,0,0
States,Massachusetts,2015,47,287,2,0,0.7,0.7,0
States,Massachusetts,2015,48,286,1,1,0.7,0.35,0.35
States,Massachusetts,2015,49,303,0,3,0.99,0,0.99
States,Massachusetts,2015,50,345,1,0,0.29,0.29,0
States,Massachusetts,2015,51,303,2,1,0.99,0.66,0.33
States,Massachusetts,2015,52,314,0,0,0,0,0
States,Massachusetts,2016,1,444,1,3,0.9,0.23,0.68
States,Massachusetts,2016,2,360,8,1,2.5,2.22,0.28
States,Massachusetts,2016,3,382,6,4,2.62,1.57,1.05
States,Massachusetts,2016,4,444,15,4,4.28,3.38,0.9
States,Massachusetts,2016,5,493,39,0,7.91,7.91,0
States,Massachusetts,2016,6,529,39,13,9.83,7.37,2.46
States,Massachusetts,2016,7,429,53,12,15.15,12.35,2.8
States,Massachusetts,2016,8,541,82,8,16.64,15.16,1.48
States,Massachusetts,2016,9,713,140,34,24.4,19.64,4.77
States,Massachusetts,2016,10,959,275,39,32.74,28.68,4.07
States,Massachusetts,2016,11,1045,232,47,26.7,22.2,4.5
States,Massachusetts,2016,12,939,200,66,28.33,21.3,7.03
States,Massachusetts,2016,13,968,193,68,26.96,19.94,7.02
States,Massachusetts,2016,14,733,71,56,17.33,9.69,7.64
States,Massachusetts,2016,15,629,64,77,22.42,10.17,12.24
States,Massachusetts,2016,16,607,43,82,20.59,7.08,13.51
States,Massachusetts,2016,17,513,34,60,18.32,6.63,11.7
States,Massachusetts,2016,18,408,16,48,15.69,3.92,11.76
