Category: All categories

Month,chills: (Massachusetts)
2015-01,45
2015-02,41
2015-03,29
2015-04,41
2015-05,37
2015-06,30
2015-07,20
2015-08,28
2015-09,40
2015-10,25
2015-11,43
2015-12,37
2016-01,44
2016-02,42
2016-03,63
2016-04,48
2016-05,41
2016-06,32
2016-07,27
2016-08,30
2016-09,32
2016-10,32
2016-11,28
2016-12,51
2017-01,54
2017-02,45
2017-03,49
2017-04,40
2017-05,48
2017-06,41
2017-07,32
2017-08,34
2017-09,33
2017-10,32
2017-11,36
2017-12,40
2018-01,72
2018-02,68
2018-03,54
2018-04,62
2018-05,41
2018-06,38
2018-07,41
2018-08,38
2018-09,34
2018-10,47
2018-11,50
2018-12,56
2019-01,72
2019-02,68
2019-03,54
2019-04,51
2019-05,39
2019-06,44
2019-07,45
2019-08,47
2019-09,52
2019-10,44
2019-11,54
2019-12,60
2020-01,75
2020-02,76
2020-03,90
2020-04,95
2020-05,56
2020-06,43
2020-07,47
2020-08,52
2020-09,39
2020-10,70
2020-11,55
2020-12,69
2021-01,72
2021-02,66
2021-03,60
2021-04,90
2021-05,62
2021-06,49
2021-07,34
2021-08,61
2021-09,48
2021-10,59
2021-11,60
2021-12,100
2022-01,93
2022-02,50
2022-03,56
2022-04,66
2022-05,52
2022-06,49
2022-07,43
2022-08,50
2022-09,51
2022-10,52
