Category: All categories

Month,cold: (Massachusetts)
2015-01,79
2015-02,66
2015-03,54
2015-04,51
2015-05,48
2015-06,44
2015-07,41
2015-08,41
2015-09,45
2015-10,55
2015-11,52
2015-12,58
2016-01,65
2016-02,64
2016-03,53
2016-04,50
2016-05,53
2016-06,48
2016-07,50
2016-08,50
2016-09,53
2016-10,52
2016-11,51
2016-12,72
2017-01,61
2017-02,54
2017-03,55
2017-04,55
2017-05,53
2017-06,51
2017-07,46
2017-08,46
2017-09,48
2017-10,53
2017-11,64
2017-12,88
2018-01,85
2018-02,62
2018-03,54
2018-04,54
2018-05,54
2018-06,52
2018-07,53
2018-08,49
2018-09,49
2018-10,57
2018-11,54
2018-12,95
2019-01,89
2019-02,82
2019-03,60
2019-04,55
2019-05,53
2019-06,49
2019-07,49
2019-08,51
2019-09,54
2019-10,55
2019-11,70
2019-12,70
2020-01,69
2020-02,64
2020-03,61
2020-04,50
2020-05,53
2020-06,46
2020-07,43
2020-08,52
2020-09,59
2020-10,68
2020-11,100
2020-12,98
2021-01,83
2021-02,82
2021-03,67
2021-04,62
2021-05,62
2021-06,66
2021-07,61
2021-08,58
2021-09,59
2021-10,62
2021-11,75
2021-12,78
2022-01,80
2022-02,61
2022-03,64
2022-04,69
2022-05,60
2022-06,54
2022-07,57
2022-08,53
2022-09,59
2022-10,63
