Category: All categories

Month,common cold: (Massachusetts)
2015-01,40
2015-02,29
2015-03,29
2015-04,22
2015-05,13
2015-06,19
2015-07,7
2015-08,9
2015-09,25
2015-10,38
2015-11,25
2015-12,27
2016-01,29
2016-02,19
2016-03,28
2016-04,17
2016-05,7
2016-06,0
2016-07,14
2016-08,12
2016-09,26
2016-10,34
2016-11,22
2016-12,33
2017-01,30
2017-02,36
2017-03,26
2017-04,14
2017-05,22
2017-06,13
2017-07,18
2017-08,15
2017-09,27
2017-10,23
2017-11,24
2017-12,41
2018-01,40
2018-02,29
2018-03,27
2018-04,21
2018-05,12
2018-06,20
2018-07,8
2018-08,10
2018-09,24
2018-10,26
2018-11,27
2018-12,35
2019-01,47
2019-02,46
2019-03,31
2019-04,23
2019-05,25
2019-06,15
2019-07,9
2019-08,17
2019-09,33
2019-10,33
2019-11,31
2019-12,40
2020-01,44
2020-02,53
2020-03,100
2020-04,30
2020-05,17
2020-06,15
2020-07,24
2020-08,20
2020-09,26
2020-10,50
2020-11,39
2020-12,50
2021-01,37
2021-02,17
2021-03,23
2021-04,25
2021-05,20
2021-06,30
2021-07,35
2021-08,34
2021-09,39
2021-10,44
2021-11,54
2021-12,94
2022-01,51
2022-02,14
2022-03,38
2022-04,48
2022-05,25
2022-06,19
2022-07,19
2022-08,20
2022-09,33
2022-10,35
