Category: All categories

Month,flu: (Massachusetts)
2015-01,22
2015-02,12
2015-03,9
2015-04,8
2015-05,5
2015-06,3
2015-07,3
2015-08,3
2015-09,9
2015-10,18
2015-11,11
2015-12,8
2016-01,8
2016-02,9
2016-03,12
2016-04,8
2016-05,6
2016-06,3
2016-07,3
2016-08,3
2016-09,10
2016-10,16
2016-11,9
2016-12,9
2017-01,14
2017-02,18
2017-03,11
2017-04,9
2017-05,4
2017-06,3
2017-07,3
2017-08,4
2017-09,9
2017-10,16
2017-11,13
2017-12,18
2018-01,52
2018-02,53
2018-03,15
2018-04,9
2018-05,5
2018-06,4
2018-07,3
2018-08,4
2018-09,12
2018-10,25
2018-11,16
2018-12,18
2019-01,27
2019-02,27
2019-03,16
2019-04,11
2019-05,5
2019-06,4
2019-07,3
2019-08,4
2019-09,12
2019-10,25
2019-11,16
2019-12,19
2020-01,40
2020-02,58
2020-03,100
2020-04,39
2020-05,22
2020-06,11
2020-07,13
2020-08,23
2020-09,36
2020-10,40
2020-11,21
2020-12,22
2021-01,14
2021-02,10
2021-03,7
2021-04,7
2021-05,6
2021-06,6
2021-07,5
2021-08,9
2021-09,19
2021-10,28
2021-11,24
2021-12,26
2022-01,18
2022-02,7
2022-03,9
2022-04,14
2022-05,12
2022-06,6
2022-07,5
2022-08,5
2022-09,17
2022-10,30
