Category: All categories

Month,muscle pain: (Massachusetts)
2015-01,60
2015-02,61
2015-03,51
2015-04,61
2015-05,65
2015-06,57
2015-07,72
2015-08,60
2015-09,64
2015-10,61
2015-11,74
2015-12,70
2016-01,73
2016-02,66
2016-03,73
2016-04,73
2016-05,75
2016-06,67
2016-07,68
2016-08,75
2016-09,66
2016-10,56
2016-11,60
2016-12,67
2017-01,74
2017-02,69
2017-03,60
2017-04,77
2017-05,66
2017-06,59
2017-07,72
2017-08,71
2017-09,68
2017-10,79
2017-11,59
2017-12,74
2018-01,75
2018-02,84
2018-03,81
2018-04,80
2018-05,80
2018-06,81
2018-07,80
2018-08,81
2018-09,89
2018-10,80
2018-11,75
2018-12,82
2019-01,77
2019-02,85
2019-03,78
2019-04,80
2019-05,69
2019-06,90
2019-07,70
2019-08,87
2019-09,76
2019-10,87
2019-11,87
2019-12,87
2020-01,96
2020-02,76
2020-03,67
2020-04,80
2020-05,85
2020-06,89
2020-07,91
2020-08,93
2020-09,80
2020-10,89
2020-11,84
2020-12,86
2021-01,93
2021-02,100
2021-03,74
2021-04,92
2021-05,83
2021-06,75
2021-07,87
2021-08,87
2021-09,71
2021-10,74
2021-11,88
2021-12,96
2022-01,87
2022-02,82
2022-03,89
2022-04,79
2022-05,85
2022-06,83
2022-07,80
2022-08,87
2022-09,90
2022-10,97
