Category: All categories

Month,runny nose: (Massachusetts)
2015-01,29
2015-02,22
2015-03,27
2015-04,20
2015-05,22
2015-06,11
2015-07,13
2015-08,0
2015-09,17
2015-10,23
2015-11,16
2015-12,24
2016-01,29
2016-02,19
2016-03,18
2016-04,21
2016-05,28
2016-06,13
2016-07,16
2016-08,18
2016-09,24
2016-10,24
2016-11,24
2016-12,29
2017-01,30
2017-02,35
2017-03,25
2017-04,26
2017-05,18
2017-06,14
2017-07,11
2017-08,16
2017-09,24
2017-10,19
2017-11,25
2017-12,25
2018-01,32
2018-02,35
2018-03,25
2018-04,25
2018-05,26
2018-06,25
2018-07,18
2018-08,15
2018-09,28
2018-10,26
2018-11,22
2018-12,30
2019-01,52
2019-02,38
2019-03,32
2019-04,24
2019-05,26
2019-06,13
2019-07,9
2019-08,12
2019-09,40
2019-10,34
2019-11,27
2019-12,36
2020-01,44
2020-02,36
2020-03,100
2020-04,35
2020-05,25
2020-06,15
2020-07,23
2020-08,41
2020-09,41
2020-10,47
2020-11,41
2020-12,40
2021-01,42
2021-02,42
2021-03,36
2021-04,38
2021-05,34
2021-06,39
2021-07,36
2021-08,47
2021-09,47
2021-10,55
2021-11,66
2021-12,78
2022-01,54
2022-02,32
2022-03,49
2022-04,49
2022-05,48
2022-06,30
2022-07,34
2022-08,33
2022-09,41
2022-10,53
